technology_name,Technology_Description,Web_of_Science_Category,OECD_Research_Area,emerging_tech_concepts,applied_domain
Topological qubit lattice,"A processor architecture that encodes logical qubits in braided topological excitations, making stored quantum states intrinsically resistant to local noise and reducing the physical-qubit overhead normally required for error correction.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,['Quantum'],['Computing Secure']
Room-temperature photonic entanglement source,"A chip-scale source that generates entangled photon pairs without cryogenic cooling, using engineered nonlinear waveguides to produce correlated photons at telecom wavelengths for quantum key distribution over standard fibre.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,"['Quantum', 'Photonic']",['Computing Secure']
Squeezed-light inertial sensor,"An interferometric accelerometer that injects squeezed vacuum states to push measurement precision below the shot-noise limit, enabling navigation-grade inertial sensing without any dependence on satellite positioning signals.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,"['Quantum', 'Photonic']",['Computing Secure']
Distributed quantum repeater node,"A node combining atomic quantum memory with heralded entanglement swapping, allowing entanglement to be extended across successive fibre segments and forming the building block of long-distance quantum networks.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,"['Quantum', 'Photonic']",['Computing Secure']
Diamond vacancy magnetometry array,"A dense array of nitrogen-vacancy colour centres in synthetic diamond that maps magnetic fields at micrometre resolution and ambient temperature, used for imaging currents in circuits and biological tissue.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,['Quantum'],['Computing Secure']
Silicon spin-qubit foundry process,"A fabrication flow that produces electron spin qubits in isotopically purified silicon using standard semiconductor tooling, aiming to make quantum processors manufacturable on existing industrial lithography lines.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,['Quantum'],['Computing Secure']
Integrated optical frequency comb clock,"A miniaturised optical clock that stabilises a microresonator frequency comb against an atomic transition, delivering laboratory-grade timing accuracy in a package small enough for field-deployed infrastructure.","Physics, Multidisciplinary; Optics; Quantum Science & Technology",1.3 Physical Sciences; 2.2 Electrical Engineering; 2.10 Nano-technology,['Photonic'],['Computing Secure']
Cell-free enzymatic protein synthesis,"A manufacturing route that assembles proteins in reconstituted cell extracts rather than living cells, removing growth constraints and allowing rapid, tunable production of therapeutic and industrial proteins.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Synthetic', 'Bio-based']",['Health Bio']
Engineered nitrogen-fixing cereal symbiont,"A rhizosphere bacterium redesigned to colonise cereal roots and fix atmospheric nitrogen, intended to substitute part of the synthetic fertiliser input in staple crop production.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Synthetic', 'Bio-based']",['Health Bio']
Programmable base-editing delivery vector,"A non-viral lipid vector that carries base-editing machinery to specific tissues, enabling single-nucleotide corrections in vivo without introducing double-strand breaks in the genome.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Genomic', 'Synthetic']",['Health Bio']
Precision fermentation of structural proteins,"A fermentation platform in which engineered microbes secrete silk-like and collagen-like structural proteins at industrial titre, supplying animal-free inputs to textile and biomedical manufacturers.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Bio-based', 'Synthetic']",['Health Bio']
DNA-based archival data storage,"An archival medium that encodes digital information in synthesised oligonucleotide pools, offering extremely high volumetric density and multi-century stability for cold data that is rarely read.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['DNA-based', 'Synthetic']",['Health Bio']
Synthetic minimal chassis organism,"A bacterium whose genome has been reduced to a minimal essential set, providing a predictable and low-background host for engineered metabolic pathways in industrial biotechnology.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Synthetic', 'Genomic']",['Health Bio']
Continuous-flow biocatalytic reactor,"A reactor that immobilises enzyme cascades on structured supports and runs them continuously, replacing multi-step chemical synthesis with a single enzymatic flow process at lower temperature and solvent load.",Biotechnology & Applied Microbiology; Biochemistry & Molecular Biology; Genetics & Heredity,1.6 Biological Sciences; 2.9 Industrial Biotechnology; 3.1 Basic Medicine,"['Bio-based', 'Controlled']",['Health Bio']
